feature,importance
tenure,0.12011214725540667
monthlycharges,0.09353037743280863
paymentmethod_Electronic check,0.028777111071427216
contract_Two year,0.027881064002737547
internetservice_Fiber optic,0.024727284684013973
onlinesecurity_Yes,0.022744581388160042
techsupport_Yes,0.021141528302444167
paperlessbilling_Yes,0.02070472867469553
contract_One year,0.01957534000382533
gender_Male,0.01880892807177954
onlinebackup_Yes,0.01707891901002604
partner_Yes,0.01677990394037303
deviceprotection_Yes,0.014544906800842495
seniorcitizen,0.014529837110484625
dependents_Yes,0.014167842395989044
